idProduto,idCliente,idVendedor,quantidade,valor
4,107,24,99,85899.33
38,29,10,8,5424.96
26,139,27,70,49983.5
5,329,54,8,6565.44
39,875,40,58,55740.899999999994
29,60,5,92,32818.240000000005
13,953,53,40,36618.8
21,660,110,53,30893.17
7,859,112,98,7824.320000000001
17,752,144,34,11199.94
21,213,38,81,47214.09
13,919,114,36,32956.92
43,675,6,60,10543.2
5,180,72,2,1641.36
36,301,15,68,28589.24
5,275,76,38,31185.839999999997
42,245,90,96,40394.88
39,458,90,21,20182.05
10,528,34,42,22527.54
3,221,110,28,12862.08
48,453,114,73,19884.469999999998
38,530,83,81,54927.72
30,293,38,55,26178.350000000002
44,766,54,43,16905.02
24,89,53,49,22167.11
3,193,131,39,17915.04
46,951,97,18,616.68
32,373,64,69,25628.670000000002
4,112,81,28,24294.76
22,578,27,20,3685.4
45,408,139,29,19438.989999999998
15,277,147,22,15531.78
29,441,32,62,22116.640000000003
26,940,128,39,27847.949999999997
22,450,94,19,3501.13
18,995,74,30,11817.300000000001
8,24,104,23,8518.51
43,842,48,56,9840.32
16,626,104,88,80705.68000000001
26,224,48,46,32846.299999999996
1,606,84,16,13299.84
22,317,99,61,11240.470000000001
47,130,103,80,10924.8
30,674,22,66,31414.02
24,978,93,85,38453.15
34,885,75,41,12912.130000000001
17,119,9,10,3294.1000000000004
42,596,10,30,12623.4
49,174,20,64,11864.32
25,395,46,25,22184
31,422,82,51,36548.13
8,850,93,64,23703.68
9,203,146,6,1907.8200000000002
33,252,42,79,28685.690000000002
12,705,33,6,4529.04
47,268,99,39,5325.84
5,932,36,40,32827.2
31,701,6,94,67363.22
34,400,39,4,1259.72
47,425,84,46,6281.76
16,613,61,21,19259.31
47,721,45,67,9149.52
21,312,51,14,8160.46
23,741,59,23,2837.0499999999997
36,192,105,21,8829.03
13,913,137,90,82392.3
32,103,142,66,24514.38
20,329,137,87,11229.960000000001
36,379,111,27,11351.61
30,526,29,72,34269.840000000004
35,341,144,23,13140.13
20,799,142,4,516.32
21,663,12,58,33807.62
49,678,87,59,10937.42
24,807,89,57,25786.23
19,974,133,44,11740.08
49,186,13,81,15015.779999999999
24,525,91,6,2714.34
39,399,85,51,49013.549999999996
38,96,69,97,65777.64
47,245,146,42,5735.52
37,496,18,90,68259.6
6,383,62,75,69731.25
33,715,34,9,3267.9900000000002
33,758,38,70,25417.7
5,548,127,98,80426.64
31,452,140,20,14332.6
49,337,66,94,17425.72
2,376,17,48,17780.16
9,609,120,75,23847.750000000004
30,553,40,10,4759.700000000001
50,391,77,14,2813.02
20,306,27,19,2452.5200000000004
17,505,137,23,7576.43
35,328,103,64,36563.84
43,111,8,90,15814.8
7,562,4,76,6067.84
27,916,61,35,11180.75
38,288,103,86,58318.32
17,795,97,68,22399.88
28,247,57,26,8056.1
14,142,31,40,1446.3999999999999
23,669,47,97,11964.949999999999
5,659,101,48,39392.64
15,381,139,39,27533.61
2,251,24,71,26299.82
35,605,124,65,37135.149999999994
31,259,114,69,49447.47
17,918,143,77,25364.570000000003
41,52,7,49,37209.62
29,232,57,54,19262.88
12,965,97,44,33212.96
13,646,37,2,1830.94
39,492,115,40,38442
4,955,128,13,11279.71
27,894,140,77,24597.649999999998
22,163,95,88,16215.76
1,360,90,12,9974.880000000001
7,154,90,78,6227.52
14,784,68,70,2531.2
37,904,31,4,3033.76
44,174,102,21,8255.94
28,931,65,81,25097.850000000002
50,474,73,13,2612.09
47,360,76,27,3687.12
35,617,143,92,52560.52
46,311,65,82,2809.3199999999997
13,115,127,24,21971.28
44,619,54,44,17298.16
24,305,102,1,452.39
11,988,142,55,42159.7
33,370,50,16,5809.76
28,52,15,45,13943.250000000002
15,539,66,86,60715.14
6,457,119,34,31611.5
18,213,10,23,9059.93
25,641,23,24,21296.64
49,271,5,61,11308.18
40,417,87,13,6980.74
32,702,119,52,19314.36
29,94,136,83,29607.760000000002
28,664,135,50,15492.500000000002
35,666,82,73,41705.63
37,172,18,88,66742.72
7,784,100,44,3512.96
9,910,118,47,14944.590000000002
31,560,2,98,70229.74
21,411,41,70,40802.299999999996
47,545,112,28,3823.6800000000003
42,460,18,18,7574.039999999999
33,304,2,5,1815.5500000000002
12,538,22,68,51329.12
30,792,119,87,41409.39
22,331,61,42,7739.34
39,388,64,51,49013.549999999996
14,876,6,86,3109.7599999999998
29,702,106,21,7491.120000000001
28,168,103,70,21689.5
47,969,82,46,6281.76
17,450,52,31,10211.710000000001
5,293,117,41,33647.88
38,971,75,9,6103.08
20,282,17,96,12391.68
34,915,12,95,29918.350000000002
20,678,140,76,9810.080000000002
45,611,124,58,38877.979999999996
19,596,127,48,12807.36
28,12,66,26,8056.1
40,74,31,20,10739.6
7,707,34,67,5349.280000000001
37,44,77,15,11376.6
43,564,53,56,9840.32
25,188,46,30,26620.8
9,489,81,58,18442.260000000002
47,183,112,9,1229.04
29,314,102,67,23900.24
25,784,35,53,47030.08
3,787,137,54,24805.440000000002
12,456,33,28,21135.52
27,277,132,25,7986.25
8,957,60,86,31851.82
26,427,139,25,17851.25
28,47,139,85,26337.250000000004
25,281,118,58,51466.88
28,9,3,3,929.5500000000001
18,118,95,51,20089.41
33,504,51,21,7625.31
12,60,98,44,33212.96
30,630,95,71,33793.87
23,738,11,90,11101.5
35,378,88,90,51417.899999999994
42,31,53,62,26088.359999999997
18,393,74,23,9059.93
39,539,136,25,24026.25
36,132,127,96,40361.28
32,887,84,18,6685.74
14,625,15,79,2856.64
22,300,11,59,10871.93
32,389,135,7,2600.01
38,918,102,88,59674.56
47,6,117,77,10515.12
34,423,53,80,25194.4
16,217,104,71,65114.81
34,770,123,46,14486.78
30,616,29,40,19038.800000000003
26,495,27,43,30704.149999999998
1,514,53,91,75642.84
20,139,111,38,4905.040000000001
42,21,92,31,13044.179999999998
13,885,73,6,5492.82
17,894,97,91,29976.31
8,643,68,55,20370.35
43,360,59,12,2108.64
45,783,29,62,41559.219999999994
19,927,87,32,8538.24
20,452,76,9,1161.72
24,903,70,55,24881.45
21,878,24,74,43133.86
18,299,28,52,20483.32
5,54,99,67,54985.56
49,255,89,37,6859.0599999999995
30,819,145,58,27606.260000000002
27,741,6,91,29069.95
48,307,134,84,22880.76
18,828,64,15,5908.650000000001
23,120,117,16,1973.6
37,961,84,73,55366.12
25,987,96,49,43480.64
4,656,90,70,60736.899999999994
47,711,144,24,3277.44
17,540,105,52,17129.32
40,171,136,49,26312.02
39,60,140,87,83611.34999999999
5,961,83,73,59909.64
32,801,130,62,23028.66
1,706,64,82,68161.68000000001
45,820,140,67,44910.77
16,931,45,55,50441.05
2,324,3,97,35930.74
29,914,19,75,26754.000000000004
9,322,93,23,7313.31
34,749,60,71,22360.03
18,336,32,18,7090.38
36,571,141,41,17237.63
5,669,42,39,32006.519999999997
47,360,57,16,2184.96
48,506,118,22,5992.58
6,901,149,17,15805.75
47,28,94,52,7101.12
20,982,32,7,903.5600000000001
38,887,35,74,50180.88
20,292,47,70,9035.6
9,626,106,34,10810.980000000001
36,291,47,37,15555.91
22,459,25,55,10134.85
36,757,15,65,27327.95
19,62,127,71,18944.22
45,805,101,3,2010.9299999999998
8,708,55,79,29259.23
22,529,53,53,9766.310000000001
7,656,67,40,3193.6000000000004
28,441,95,24,7436.400000000001
40,45,106,16,8591.68
37,548,138,7,5309.08
7,290,35,25,1996
44,187,127,94,36955.159999999996
30,532,21,71,33793.87
14,109,95,23,831.68
37,411,96,59,44747.96000000001
4,42,145,92,79825.64
47,355,30,50,6828
43,843,3,32,5623.04
49,372,36,52,9639.76
11,46,132,60,45992.399999999994
3,511,104,71,32614.56
11,759,98,75,57490.5
44,522,39,93,36562.02
9,636,43,94,29889.180000000004
2,283,136,28,10371.76
44,903,49,19,7469.66
34,536,87,5,1574.65
31,793,103,34,24365.42
11,356,130,87,66688.98
17,420,7,49,16141.090000000002
14,581,146,91,3290.5599999999995
27,96,17,42,13416.9
23,962,139,79,9744.65
36,580,121,91,38259.13
8,434,7,80,29629.6
14,311,51,68,2458.8799999999997
20,552,49,26,3356.0800000000004
7,965,125,1,79.84
45,891,101,85,56976.35
44,209,97,24,9435.36
13,530,97,52,47604.44
14,674,118,15,542.4
17,756,114,51,16799.91
11,127,21,49,37560.46
34,174,107,6,1889.58
17,777,104,25,8235.25
35,193,121,86,49132.659999999996
12,325,147,59,44535.560000000005
42,775,128,67,28192.26
20,92,150,36,4646.88
11,293,113,99,75887.45999999999
36,528,8,26,10931.18
23,394,36,80,9868
11,952,145,85,65155.899999999994
29,452,104,62,22116.640000000003
8,51,101,26,9629.62
44,994,84,62,24374.68
22,677,6,92,16952.84
9,217,15,70,22257.9
36,747,39,11,4624.7300000000005
33,893,132,29,10530.19
33,677,22,31,11256.41
6,125,86,79,73450.25
27,245,93,68,21722.6
11,221,43,51,39093.54
41,244,100,53,40247.14
17,737,142,24,7905.84
9,975,113,83,26391.510000000002
41,737,150,78,59231.64
47,96,58,8,1092.48
45,738,143,61,40888.909999999996
37,146,126,65,49298.600000000006
30,544,45,8,3807.76
15,361,87,42,29651.58
38,327,15,24,16274.880000000001
33,286,115,82,29775.02
35,298,35,25,14282.749999999998
5,676,49,40,32827.2
46,606,116,32,1096.32
25,895,71,17,15085.12
20,441,88,84,10842.720000000001
6,686,147,14,13016.5
37,310,41,89,67501.16
10,963,13,73,39155.01
13,650,95,92,84223.24
24,713,135,10,4523.9
28,474,69,72,22309.2
20,776,74,35,4517.8
12,794,69,66,49819.44
23,326,84,81,9991.35
32,234,115,48,17828.64
21,355,13,2,1165.78
5,408,74,45,36930.6
34,846,42,34,10707.62
31,150,56,49,35114.87
29,217,18,47,16765.84
46,274,117,36,1233.36
32,195,16,28,10400.04
15,722,125,92,64951.08
20,4,13,47,6066.76
29,121,132,50,17836
38,262,100,14,9493.68
37,158,23,23,17444.120000000003
43,419,106,80,14057.6
4,936,27,10,8676.699999999999
32,533,3,58,21542.94
15,223,115,7,4941.93
18,936,79,26,10241.66
15,467,117,53,37417.47
34,955,102,30,9447.9
37,376,146,60,45506.4
10,477,33,49,26282.13
1,701,47,36,29924.64
11,555,128,62,47525.479999999996
20,655,27,46,5937.68
19,342,70,3,800.46
19,169,79,85,22679.7
38,53,70,22,14918.64
10,831,65,38,20382.06
24,429,71,9,4071.5099999999998
19,793,101,24,6403.68
12,155,52,75,56613
26,284,58,78,55695.899999999994
40,378,41,89,47791.22
42,614,143,84,35345.52
3,144,6,35,16077.6
5,427,35,58,47599.439999999995
29,844,68,58,20689.760000000002
34,111,145,85,26769.05
22,813,129,28,5159.56
18,467,44,90,35451.9
31,755,76,58,41564.54
6,547,77,38,35330.5
32,359,100,76,28228.68
27,756,97,2,638.9
32,852,30,71,26371.53
31,966,23,48,34398.24
31,436,30,34,24365.42
41,499,57,79,59991.02
49,641,98,82,15201.16
29,354,7,41,14625.52
38,45,71,29,19665.48
1,367,15,40,33249.6
44,572,130,76,29878.64
41,143,89,31,23540.78
16,500,143,35,32098.850000000002
6,560,11,35,32541.25
27,839,44,54,17250.3
25,607,17,67,59453.12
5,399,78,18,14772.24
38,127,75,72,48824.64
2,371,9,12,4445.04
17,315,93,93,30635.13
45,444,148,37,24801.469999999998
26,302,20,45,32132.249999999996
29,492,13,13,4637.360000000001
28,530,61,96,29745.600000000002
18,835,131,10,3939.1000000000004
6,246,38,58,53925.5
44,335,12,93,36562.02
34,237,124,87,27398.91
25,7,97,16,14197.76
10,564,102,5,2681.85
46,786,114,85,2912.1
12,177,55,5,3774.2000000000003
8,386,82,91,33703.67
33,472,53,31,11256.41
18,704,97,87,34270.170000000006
6,438,144,59,54855.25
27,702,25,9,2875.0499999999997
10,904,13,2,1072.74
34,77,47,78,24564.54
46,517,1,75,2569.5
14,375,52,51,1844.1599999999999
17,61,147,36,11858.76
25,397,85,60,53241.6
47,708,52,15,2048.4
44,626,106,15,5897.099999999999
12,297,62,50,37742
24,262,62,92,41619.88
21,501,52,96,55957.44
3,748,137,34,15618.24
27,851,125,19,6069.55
42,497,144,31,13044.179999999998
28,880,38,90,27886.500000000004
41,1,53,98,74419.24
3,185,85,27,12402.720000000001
6,929,62,91,84607.25
33,200,12,8,2904.88
21,32,33,17,9909.13
23,742,48,76,9374.6
50,457,121,79,15873.470000000001
14,965,100,44,1591.04
39,91,73,74,71117.7
30,922,116,19,9043.43
40,886,81,70,37588.6
44,830,146,4,1572.56
40,307,9,82,44032.36
38,852,119,38,25768.56
31,110,120,84,60196.92
14,537,142,42,1518.7199999999998
20,98,114,37,4775.96
42,44,59,71,29875.379999999997
2,882,115,35,12964.7
11,984,62,67,51358.18
21,961,12,68,39636.52
27,430,81,94,30028.3
38,103,65,35,23734.2
2,604,114,42,15557.640000000001
22,646,140,58,10687.66
37,115,50,92,69776.48000000001
46,625,25,25,856.5
42,489,135,13,5470.139999999999
34,144,29,57,17951.010000000002
31,129,114,90,64496.7
12,927,90,57,43025.880000000005
25,40,122,17,15085.12
14,273,19,50,1807.9999999999998
3,94,6,95,43639.200000000004
13,636,8,96,87885.12
32,997,17,52,19314.36
22,571,68,6,1105.6200000000001
42,89,122,32,13464.96
45,223,5,36,24131.159999999996
27,525,95,32,10222.4
41,559,56,68,51637.84
16,526,62,2,1834.22
4,62,81,91,78957.97
24,323,15,76,34381.64
29,548,71,48,17122.56
20,61,78,48,6195.84
39,336,100,24,23065.199999999997
41,346,128,35,26578.3
5,652,14,91,74681.87999999999
41,636,31,86,65306.68
36,941,57,19,7988.17
18,74,62,76,29937.160000000003
50,721,124,45,9041.85
21,329,35,96,55957.44
2,618,10,36,13335.12
42,82,70,81,34083.18
12,179,69,81,61142.04
11,206,128,56,42926.24
10,373,92,28,15018.36
29,416,57,10,3567.2000000000003
39,267,99,29,27870.449999999997
31,72,37,47,33681.61
47,617,109,78,10651.68
32,722,144,30,11142.9
46,535,144,95,3254.7
27,730,127,82,26194.899999999998
1,698,3,11,9143.64
7,33,61,7,558.88
5,480,113,66,54164.88
8,866,95,65,24074.05
38,561,144,39,26446.68
35,66,23,32,18281.92
5,76,122,60,49240.799999999996
43,234,20,15,2635.8
43,941,113,75,13179
6,92,108,93,86466.75
9,37,53,28,8903.16
38,289,4,78,52893.36
45,843,27,52,34856.119999999995
35,838,28,28,15996.679999999998
3,732,129,41,18833.760000000002
21,142,14,24,13989.36
34,493,3,76,23934.68
3,161,121,84,38586.24
21,816,31,46,26812.94
20,372,90,31,4001.4800000000005
2,484,55,57,21113.940000000002
30,36,78,28,13327.16
43,235,137,100,17572
11,54,63,62,47525.479999999996
33,963,45,83,30138.13
20,321,139,49,6324.920000000001
20,800,73,1,129.08
4,440,132,60,52060.2
16,599,87,75,68783.25
12,862,104,84,63406.560000000005
19,864,100,68,18143.76
22,57,39,3,552.8100000000001
9,991,110,1,317.97
2,762,63,36,13335.12
34,184,14,97,30548.21
39,625,117,23,22104.149999999998
16,220,141,93,85291.23
29,854,4,11,3923.92
47,381,147,51,6964.56
31,412,37,36,25798.68
34,687,102,63,19840.59
7,228,86,49,3912.1600000000003
8,756,28,87,32222.19
17,546,143,18,5929.38
42,396,61,89,37449.42
3,141,37,53,24346.08
27,455,31,87,27792.149999999998
45,251,6,47,31504.569999999996
9,263,66,23,7313.31
5,735,66,91,74681.87999999999
50,402,127,78,15672.54
2,932,43,34,12594.28
29,668,102,19,6777.68
33,343,80,63,22875.93
27,772,79,82,26194.899999999998
40,587,147,23,12350.54
45,816,149,54,36196.74
7,698,9,44,3512.96
35,972,148,50,28565.499999999996
10,970,58,32,17163.84
20,997,51,89,11488.12
7,573,70,87,6946.08
40,384,18,51,27385.98
15,196,103,82,57891.18
5,486,110,37,30365.16
25,708,41,48,42593.28
19,417,112,95,25347.899999999998
15,399,125,98,69187.02
6,979,115,70,65082.5
10,137,93,59,31645.83
13,744,61,34,31125.98
21,94,8,21,12240.69
15,362,57,89,62833.11
13,22,86,75,68660.25
42,861,58,29,12202.619999999999
14,756,19,42,1518.7199999999998
6,881,84,4,3719
26,416,93,97,69262.84999999999
38,490,90,70,47468.4
7,484,43,84,6706.56
49,186,84,6,1112.28
5,390,68,67,54985.56
16,512,106,94,86208.34
49,986,77,80,14830.4
38,164,109,73,49502.76
18,407,6,77,30331.070000000003
7,269,71,94,7504.96
37,40,17,70,53090.8
12,218,86,35,26419.4
14,498,86,22,795.52
29,338,123,21,7491.120000000001
3,827,134,3,1378.08
13,169,56,90,82392.3
13,325,39,97,88800.59
15,949,90,45,31769.55
4,738,75,91,78957.97
48,471,45,5,1361.9499999999998
2,733,33,18,6667.56
14,372,144,62,2241.9199999999996
39,103,80,45,43247.25
43,88,124,36,6325.92
8,435,73,4,1481.48
21,848,128,97,56540.33
25,193,16,17,15085.12
25,6,141,14,12423.04
47,945,124,5,682.8
49,642,88,2,370.76
37,234,31,43,32612.920000000002
8,697,56,62,22962.94
13,916,66,48,43942.56
47,140,47,46,6281.76
20,200,133,23,2968.84
2,562,3,72,26670.24
23,251,147,20,2467
44,783,87,84,33023.76
23,670,123,28,3453.7999999999997
9,146,20,76,24165.72
20,709,54,97,12520.760000000002
10,833,59,31,16627.47
15,664,87,76,53655.24
13,199,77,59,54012.73
8,936,98,32,11851.84
41,47,123,82,62269.159999999996
43,81,5,78,13706.16
32,265,76,99,36771.57
9,697,10,45,14308.650000000001
48,576,97,40,10895.599999999999
32,271,101,7,2600.01
35,390,30,20,11426.199999999999
22,463,39,25,4606.75
11,171,27,6,4599.24
34,911,137,79,24879.47
34,443,25,8,2519.44
34,863,142,11,3464.23
47,890,149,76,10378.56
9,262,113,39,12400.830000000002
33,737,15,97,35221.67
39,203,80,46,44208.299999999996
9,963,91,90,28617.300000000003
46,961,148,22,753.7199999999999
42,767,75,7,2945.46
37,482,10,31,23511.640000000003
40,150,82,90,48328.200000000004
25,440,43,47,41705.92
29,92,106,98,34958.560000000005
2,676,125,27,10001.34
24,769,12,58,26238.62
7,561,18,44,3512.96
34,821,86,31,9762.83
24,726,20,27,12214.529999999999
9,913,68,99,31479.030000000002
11,57,23,76,58257.03999999999
34,951,141,82,25824.260000000002
41,596,75,59,44803.42
8,159,60,62,22962.94
8,221,32,39,14444.43
6,99,12,12,11157
5,725,88,86,70578.48
4,470,128,51,44251.17
10,382,103,56,30036.72
42,156,83,69,29033.82
